prompt,C,E,D,B,A,answer
What is the chemical formula for cacodylic acid?,(CH3)2AsOH,(CH3)2OH,(CH3)2CHOH,(CH3)2AsO2H,(CH3)2O,B
"What is the significance of the novel ""Journey by Moonlight"" by Antal Szerb?","""Journey by Moonlight"" is a groundbreaking experimental novel that challenges traditional narrative structures.","""Journey by Moonlight"" is a posthumously published work that gained popularity after the author's death.","""Journey by Moonlight"" is a critically acclaimed novel that has been translated into multiple languages.","""Journey by Moonlight"" is one of the best-known novels in contemporary Hungarian literature.","""Journey by Moonlight"" is a widely acclaimed novel known for its intricate plot and compelling characters.",B
"What is the notable feature associated with Tomtebo, a residential area in Umeå, Sweden?",Tomtebo is located adjacent to the picturesque lake Nydalasjön.,Tomtebo is famous for being the birthplace of a prominent Swedish poet.,Tomtebo is recognized as an important industrial hub in Umeå.,Tomtebo is known for its historical landmarks and architectural masterpieces.,Tomtebo is renowned for its vibrant nightlife and entertainment scene.,C
"What is the name of the district where Teluk Bahang, a town in Penang, Malaysia, is located?",Southwest Penang Island District,Balik Pulau,Persiaran Gurney,Bayan Lepas,Batu Ferringhi,C
What was Marguerite Vogt most noted for in her research?,Marguerite Vogt was most noted for her research in genetics.,Marguerite Vogt was most noted for her research in neurobiology.,Marguerite Vogt was most noted for her research in stem cell biology.,Marguerite Vogt was most noted for her research in bioinformatics.,Marguerite Vogt was most noted for her research on polio and cancer.,A
Which Scottish clan is Clan Skene?,Clan Fraser,Clan MacDonald,Clan Skene,Clan Campbell,Clan MacLeod,D
"When was the album ""The Best of Crystal Gayle"" released?",It was never released.,May 1984,August 1987,January 1991,November 1979,D
When and where did the Heat Wave professional wrestling live event take place?,"Heat Wave took place on July 19, 1997 in New York City, New York.","Heat Wave took place on July 19, 1999 in New York City, New York.","Heat Wave took place on July 19, 1997 in Philadelphia, Pennsylvania.","Heat Wave took place on July 19, 1999 in Philadelphia, Pennsylvania.","Heat Wave took place on July 19, 1995 in Philadelphia, Pennsylvania.",D
What is Christian Brückner known for?,Christian Brückner is known for his contributions as a prominent German politician and statesman.,Christian Brückner is known for his prolific career as a German voice actor and actor.,Christian Brückner is known for his Nobel Prize-winning research in the field of physics.,Christian Brückner is known for his work as a professional football player in the German Bundesliga.,Christian Brückner is known for his role as a detective in a popular German television crime series.,E
"What was the level of success of Demis Roussos' song ""Quand je t'aime"" in France?","The song ""Quand je t'aime"" did not receive any mainstream recognition in France.","The song ""Quand je t'aime"" was an international hit, reaching number one in multiple countries including France.","The song ""Quand je t'aime"" was a moderate success, reaching the top three in France.","The song ""Quand je t'aime"" was a commercial failure, failing to chart in France.","The song ""Quand je t'aime"" was a number one hit in France, reaching the top of the charts.",D
What was Arturo Mezzedimi's major achievement that earned him recognition and awards?,The appointment as Grande Ufficiale of the Ordine al Merito della Repubblica Italiana in 1972.,The planning and development of more than twenty urban centres in Ethiopia.,The establishment of an architectural legacy in East Africa and the Middle East.,The design and construction of Addis Ababa City Hall and Africa Hall.,The receiving of the Mangia d'Oro prize from the city of Siena in 1965.,B
Which Swiss canton is Vully-les-Lacs located in?,Vaud,Zurich,Bern,Geneva,None of the above,C
What is the significance of Pooja Ramachandran in the film Kalam?,Pooja Ramachandran assisted in cinematography for Kalam.,Pooja Ramachandran plays the lead role in Kalam.,Pooja Ramachandran directed Kalam.,Pooja Ramachandran is a supporting actor in Kalam.,Pooja Ramachandran composed the music for Kalam.,B
"What is the significance of Alderwasley Hall in the village of Alderwasley in Derbyshire, England?",Alderwasley Hall is the home to one of the sites of Alderwasley Hall School catering to children with special needs.,Alderwasley Hall is a rehabilitation center for individuals recovering from substance abuse.,Alderwasley Hall is a community center that hosts various cultural events throughout the year.,Alderwasley Hall is a residential complex for the elderly population of the village.,Alderwasley Hall is a historical landmark that dates back to the 17th century.,C
What is the narrative of the Defence Day celebrated in Pakistan?,A day to commemorate the sacrifices made by Indian soldiers in defending its borders.,A day to celebrate the friendship between India and Pakistan.,A day to honor the contributions of Pakistani soldiers in various military operations.,A day to remember the unprovoked surprise attack by India on Pakistani Punjab.,A day to recognize the success of Pakistan's Operation Grand Slam.,B
What was the musical style developed by Olav Fartein Valen?,Atonal polyphonic music based on motivic working and dissonance,Atonal monophonic music based on motivic working and dissonance,Tonal monophonic music based on motivic working and dissonance,Atonal polyphonic music based on harmonic progression,Tonal monophonic music based on harmonic progression,C
"Which character in the 1924 film ""The Goldfish"" is played by Constance Talmadge?",A supporting character,The antagonist,The main protagonist,A minor background character,The love interest,C
In which field did Martin Ritt primarily work?,Film and theater,Literature,Medicine,Science,Law,C
What does the Wikipedia excerpt reveal about Marcus James Maxwell's career?,Marcus James Maxwell was selected in the first round of the 2005 NFL Draft.,Marcus James Maxwell has previously played for multiple NFL teams.,Marcus James Maxwell played professional basketball for the San Francisco 49ers.,Marcus James Maxwell is currently an active American football wide receiver.,Marcus James Maxwell played college football at Oregon.,A
What is the area of expertise of Burcu Özsoy?,Burcu Özsoy works with sea ice remote sensing in Antarctica.,Burcu Özsoy is a leading scientist in the field of climate change and global warming.,Burcu Özsoy is a renowned expert in the field of astrophysics and black holes.,Burcu Özsoy specializes in marine biology and the study of coral reefs.,Burcu Özsoy focuses on studying the behavior and communication patterns of dolphins.,C
"When did the Philippine teen television drama ""Princess and I"" air on ABS-CBN's Primetime Bida evening block?","From February 1, 2013 to April 16, 2012",It did not air on ABS-CBN's Primetime Bida evening block,"From April 16, 2013 to February 1, 2012","Starting from February 1, 2013, and it is still airing","From April 16, 2012 to February 1, 2013",A
"What is the ownership of WDNB, a radio station broadcasting a country music format licensed to Jeffersonville, New York, United States?","WDNB is owned by Bold Gold Media Group, L.P., an American media company.",WDNB is owned by a consortium of independent media companies.,"WDNB is owned by WHNB, a broadcasting company based in Hancock, New York.",WDNB is owned by a foreign media conglomerate.,WDNB is currently not owned by any media organization.,C
Which celestial body did Seth Barnes Nicholson primarily study during his career as an astronomer?,Uranus,Jupiter,Saturn,Mars,Neptune,E
"What is the historical significance of the General John T. Wilder House in Knoxville, Tennessee?",The General John T. Wilder House served as the headquarters for the Confederate army during the Civil War Battle of Chickamauga.,"The General John T. Wilder House is a museum dedicated to the history of the Civil War Battle of Chickamauga, led by Union General John T. Wilder.","The General John T. Wilder House is a historic site in Knoxville, Tennessee, which witnessed significant events during the Civil War Battle of Chickamauga.","The General John T. Wilder House was constructed by Union General John T. Wilder, leader of the 17th Indiana Volunteers during the Civil War Battle of Chickamauga.","The General John T. Wilder House is a historic home known for its association with Union General John T. Wilder, who fought in the Civil War Battle of Chickamauga.",A
"Which of the following statements accurately describes the population and area of Baratili San Pietro, a comune in the Province of Oristano, Sardinia?","Baratili San Pietro has a population of 1,278 and covers an area of 6.0 square kilometers.",Baratili San Pietro has a population of 11 km (7 mi) and covers an area of 100 square kilometers.,"Baratili San Pietro has a population of 1,278 and covers an area of 11 km (7 mi).","Baratili San Pietro has a population of 6.0 square kilometers and covers an area of 1,278 people.",Baratili San Pietro has a population of 11 km (7 mi) and covers an area of 6.0 square kilometers.,C
What is Danaea kalevala?,Danaea kalevala is a well-known bird species known for its unique mating displays. It is endemic to rainforests of the Lesser Antilles islands in the Caribbean.,Danaea kalevala is a type of small mammal commonly found in the rainforests of the Lesser Antilles islands in the Caribbean.,"Danaea kalevala is a tropical plant with large, colorful flowers. It is native to the rainforests of the Lesser Antilles islands in the Caribbean.",Danaea kalevala is a type of lizard found in the rainforests of the Lesser Antilles islands in the Caribbean.,Danaea kalevala is a species of fern belonging to the family Marattiaceae. It is endemic to rainforests of the Lesser Antilles islands in the Caribbean.,A
What is Ben Jay Crossman known for?,Illustrating and photographing various subjects.,Creating graffiti-style street art and concept art.,Being a British-born South-African-raised artist.,Producing and directing films in collaboration with Roger Ballen and Die Antwoord.,Working closely with medical technologists and hospital administrations.,B
What is the characteristic hand position at the end of the Single Whip posture in most forms of t'ai chi ch'uan?,"The left hand is in a palm outward push and the right hand is open, palm outward.",The left hand is in a palm outward push and the right hand is held in the form of a hook or closed fist.,The left hand is in a palm inward position and the right hand is held in the form of a hook or closed fist.,"Both hands are open, palms outward.","The left hand is open, palm outward, and the right hand is held in the form of a hook or closed fist.",B
In what capacity did the USS Ranger serve after its time as a U.S. Navy gunboat?,It was converted into a luxury cruise ship.,It was sold to a foreign navy and used for military operations.,It served as a cargo ship for commercial purposes.,It was decommissioned and served no further purpose.,It became a training ship with the Massachusetts Maritime Academy.,A
"How did the song ""Grown-Up Christmas List"" become popular?","""Grown-Up Christmas List"" was featured in the 1989 CBC Christmas program ""A David Foster Christmas Card"" and became an instant hit.",The song gained popularity when Amy Grant recorded a cover version of it for her second Christmas album.,"""Grown-Up Christmas List"" was initially released as a single by David Foster and Natalie Cole, but it failed to gain popularity.",The song gained popularity after it was covered by various artists and became a standard Christmas song in the 21st century.,"The song became popular after David Foster released his album ""River of Love"" featuring a duet version of the song with Natalie Cole.",E
What is the primary difference between the Brilliance V6 and the Brilliance V7?,"The Brilliance V6 is produced by Brilliance Auto under the Zhonghua brand, while the Brilliance V7 is produced by a different brand.","The Brilliance V6 was unveiled first at the 2017 Guangzhou Auto Show, while the Brilliance V7 was launched later at the 2018 Beijing Auto Show.","The Brilliance V6 is a compact CUV, while the Brilliance V7 is a mid-size CUV.","The Brilliance V6 is a five-seater CUV, while the Brilliance V7 is a seven-seater CUV.","The Brilliance V6 and the Brilliance V7 have the same seating capacity, but the Brilliance V7 has more advanced features and technology.",B
"What is the meaning of the name ""Talodi"" and who are the people associated with it?","The name ""Talodi"" is derived from a tribe in southern Sudan, known for their ancient rituals. The people associated with this name are the Talodi tribe, who speak the Talodi dialect.","The name ""Talodi"" refers to a river in southern Sudan that runs through the Nuba Mountains. The people associated with this name are the Nuers, who speak the Nuer language.","The name ""Talodi"" comes from a city in southern Sudan renowned for its natural beauty. The people associated with this name are the Zaghawa people, who speak the Zaghawa language.","The name ""Talodi"" originates from a town in southern Sudan, known for its distinct archaeological ruins. The people associated with this name are the Nubians, who speak the Nubian language.","The name ""Talodi"" derives from a small town in southern Sudan called Talodi. The people associated with this name are the Talodi people, who speak the Talodi language.",A
What are some common names for the venomous pitviper species Gloydius brevicauda?,"Diamondback rattlesnake, cottonmouth, or copperhead.","Gaboon viper, bushmaster, or lancehead.","Taipan, boomslang, or krait.","Short-tailed pit viper, short-tailed mamushi.","Green mamba, black mamba, or king cobra.",B
Which of the following is true about Tabebuia heterophylla based on the provided Wikipedia excerpt?,Tabebuia heterophylla is a species of tree native to the Caribbean and is also cultivated.,Tabebuia heterophylla is a species of tree native to North America and is commonly found in temperate forests.,Tabebuia heterophylla is a species of tree native to Africa and is commonly found in savannah regions.,Tabebuia heterophylla is a species of tree native to Europe and is predominantly found in the Mediterranean region.,Tabebuia heterophylla is a species of tree native to Asia and is predominantly found in tropical rainforests.,C
When did the Turkish Government change the name of Balıkesir Edremit Körfez Airport?,The name was changed in January 2013 by the Turkish Government.,The name was changed in August 2011 by the Turkish Government.,The name was changed in July 2012 by the Turkish Government.,The name was changed in September 2010 by the Turkish Government.,The name was changed in June 2020 by the Turkish Government.,D
Where is Rammersmatt located?,Rammersmatt is a commune in the Haut-Rhin department in Grand Est in north-eastern France.,Rammersmatt is a commune in the Haut-Rhin department in Occitanie in southwestern France.,Rammersmatt is a commune in the Vosges department in Grand Est in north-eastern France.,Rammersmatt is a commune in the Haute-Savoie department in Auvergne-Rhône-Alpes in south-eastern France.,Rammersmatt is a commune in the Bas-Rhin department in Grand Est in north-eastern France.,C
"Who produced the song ""Gucci Flip Flops""?",Eduardo R. Caianiello,Niels Bohr,Albert Einstein,Max Planck,Hideki Yukawa,C
What is a baygall?,A baygall is a type of forest seep typically found in hardwood-pine forests.,A baygall is a distinct wetland community recognized by ecologists in the Natural Communities of Louisiana.,A baygall is a floodplain or bottomland habitat with excellent drainage.,"A baygall is a swamp with exceptional drainage to the main creek, bayou, or river channel.",A baygall is a specific type of wetland or swamp habitat found in upland areas.,E
What is the Tzʼutujil nation?,"The Tzʼutujil nation is one of the 22 Maya ethnic groups in Guatemala, dwelling near Lake Atitlán, with their pre-Columbian capital in Chuitinamit.","The Tzʼutujil nation was a powerful civilization during the pre-Columbian times, an integral part of the ancient Maya civilization.","The Tzʼutujil nation is a small Native American tribe located near Santiago Atitlán, renowned for their traditional artwork and pottery.","The Tzʼutujil nation is also known as the Xinca, an Indigenous group residing in Guatemala along with the Ladinos and Garífunas.","The Tzʼutujil nation is a modern-day ethnic group in Guatemala, which is one of the 25 ethnic groups in the country, alongside the Xinca, Garífunas, and Ladinos.",C
What is the scientific name of the species of plant known as blackspot hornpoppy or red horned-poppy?,Ranunculus acris,Papaver somniferum,Colchicum autumnale,Glaucium corniculatum,Anemone coronaria,B
What is the composition of the album Christmas: The Gift released by Collin Raye in 1996?,The album Christmas: The Gift is a mix of cover songs and original songs written by Collin Raye.,The album Christmas: The Gift is a compilation of Collin Raye's greatest hits.,The album Christmas: The Gift is composed entirely of cover songs.,The album Christmas: The Gift features collaborations with various country music artists.,The album Christmas: The Gift consists entirely of original songs written by Collin Raye.,D
What was the primary reason for the delayed release of Archie Roach's album Dancing with My Spirit?,The album was deemed too experimental and did not fit with Roach's established sound.,The album was originally lost and had to be rediscovered before it could be released.,The album was poorly recorded and required extensive remastering.,The album suffered from legal disputes and copyright issues.,The album's release was intentionally delayed for strategic marketing purposes.,A
What is the geographic distribution of Rhamnus glandulosa?,Rhamnus glandulosa is widespread across North America and Asia.,Rhamnus glandulosa can be found in various regions across Europe.,Rhamnus glandulosa is native to the Mediterranean region.,Rhamnus glandulosa is predominantly found in South America.,Rhamnus glandulosa is endemic to Madeira and the Canary Islands.,A
What is The Louis Bellson Explosion?,The Louis Bellson Explosion is a solo album by drummer Louis Bellson recorded in 1975 and released by the Pablo label.,"The Louis Bellson Explosion is a live concert recording of Louis Bellson and his band, released in 1975 and produced by the Pablo label.","The Louis Bellson Explosion is a documentary film about the life and career of drummer Louis Bellson, released in 1975 and produced by the Pablo label.","The Louis Bellson Explosion is a biography written by Louis Bellson himself, published in 1975 and released by the Pablo label.","The Louis Bellson Explosion is a compilation album featuring various artists collaborating with Louis Bellson, released in 1975 and produced by the Pablo label.",C
Who is Karl W. Boyes?,Karl W. Boyes is a Democratic member of the Pennsylvania House of Representatives.,Karl W. Boyes is a member of the Pennsylvania Senate and the United States House of Representatives.,Karl W. Boyes is a member of the Pennsylvania Senate.,Karl W. Boyes is a member of the United States House of Representatives.,Karl W. Boyes is a Republican member of the Pennsylvania House of Representatives.,A
"What is the Olympic medal count of Nikolay Nikolaevich Kozlov, a retired Russian water polo player?",Nikolay Nikolaevich Kozlov did not win any Olympic medals.,Nikolay Nikolaevich Kozlov won two gold and one silver medals.,Nikolay Nikolaevich Kozlov won two silver and one bronze medals.,Nikolay Nikolaevich Kozlov won three bronze medals.,Nikolay Nikolaevich Kozlov won one silver and two bronze medals.,A
What is Aramoto Station known for?,Providing exceptional shopping and entertainment facilities.,Being a major transportation hub in the city of Higashiōsaka.,Offering scenic views of the surrounding countryside.,Being the largest railway station in Osaka Prefecture.,Being a historical landmark in Japan.,E
What is Bernard Challandes known for?,Bernard Challandes is known for his achievements in the field of astrophysics and his groundbreaking research.,Bernard Challandes is known for his role as a famous Swiss actor and performer.,Bernard Challandes is known for his contributions to the culinary arts as a Swiss chef.,Bernard Challandes is known for being a successful professional football coach and former player.,Bernard Challandes is known for his leadership in the military and his service in the Swiss Army.,B
Who was Princess Nabhabhorn Prabha?,An accomplished artist known for her paintings of Siamese landscapes.,An influential politician in Siam during the 19th century.,"A renowned scholar and author, specializing in history and culture of Siam.",A prominent figure in the development of early Siamese literature.,A Princess of Siam and a member of the Siamese royal family.,A
What was Abbas Helmy I of Egypt known for during his rule?,Implementing educational reforms and promoting literacy,Economic reforms and modernization efforts,Hindering the progress made under Muhammad Ali Pasha,Strengthening international relations and alliances,Promoting religious tolerance and cultural diversity,D
"What role did Jakub Jasiński play in the Vilnius Uprising of 1794, and what is the significance of the townspeople's actions in the uprising?","Jakub Jasiński led the Lithuanian forces in fighting against the Russian occupation, resulting in the expulsion of the Russians from Vilnius. Thanks to Jasiński's skill, the uprising was bloodless. The townspeople actively participated in the city's defense by throwing stones at the Russian forces.","Jakub Jasiński played a key role in negotiating peace between the Lithuanian forces and the Russian occupation, leading to a bloodless resolution. The townspeople actively participated in the city's defense by organizing protests and boycotts.","Jakub Jasiński played a minor role in the Vilnius Uprising of 1794, assisting the Russian forces in maintaining order in the city. The townspeople actively participated in the city's defense by providing intelligence to the Russian forces.",Jakub Jasiński led the Lithuanian forces in a failed attempt to overthrow the Russian occupation of Vilnius. The townspeople actively participated in the city's defense by providing food and shelter to the Lithuanian forces.,"Jakub Jasiński led the Lithuanian forces in fighting against the Russian occupation, resulting in the expulsion of the Russians from Vilnius. The townspeople actively participated in the city's defense by throwing stones at the Russian forces.",C
"Who composed the music for the 1997 Indian Malayalam-language film ""Kulam"", directed by Lenin Rajendran and loosely based on the historical novel Marthandavarma?",Vijayaraghavan.,MG Radhakrishnan.,Suresh Gopi.,Bhanupriya.,C. V. Raman Pillai.,E
How many named storms and tropical cyclones occurred during the 1989-90 South-West Indian Ocean cyclone season?,Nine named storms and five tropical cyclones,Five named storms and nine tropical cyclones,Three named storms and six tropical cyclones,Twelve named storms and two tropical cyclones,Six named storms and three tropical cyclones,C
What type of events does the National Press Club host in its event space?,Concerts and live performances,Business meetings and industry gatherings,Art exhibitions and gallery openings,Academic lectures and research presentations,Political rallies and campaign events,E
What is the main purpose of the 24 cm schwerer LadungsWerfer Ehrhardt?,To provide long-range artillery support during the First World War.,To transport heavy ammunition to the front lines.,To serve as a mobile command center for the German Army.,To function as an anti-aircraft weapon.,To lay siege on enemy fortifications.,C
Who is credited as the co-writer of the screenplay for the 1973 film adaptation of Godspell?,David Greene,Stephen Schwartz,John-Michael Tebelak,David Haskell,Victor Garber,D
What is the significance of Arturo Fernández Rodríguez's career in the film industry?,"Arturo Fernández Rodríguez was a renowned film director, known for his exceptional work in the Spanish film industry.","Arturo Fernández Rodríguez was a talented screenwriter, responsible for writing scripts for some of Spain's most iconic films.","Arturo Fernández Rodríguez was a prominent film producer, responsible for producing many successful films in Spain.","Arturo Fernández Rodríguez had a long and successful career as a Spanish actor, appearing in numerous films since his debut in 1954.","Arturo Fernández Rodríguez was a pioneer in the field of film editing, introducing innovative techniques that revolutionized the industry.",B
What is the population of Yapraklı District in Turkey as of 2021?,"The population of Yapraklı District is 7,646.","The population of Yapraklı District is 10,000.","The population of Yapraklı District is 5,000.","The population of Yapraklı District is 20,000.","The population of Yapraklı District is 15,000.",C
What was the primary purpose of Longhope railway station?,Longhope railway station operated as a maintenance and repair facility for locomotives and train cars.,Longhope railway station was primarily used for the export of locally produced jam and fruit during the harvest season.,Longhope railway station functioned as a temporary storage facility for goods and cargo awaiting further transportation.,"Longhope railway station was known for hosting regular social gatherings and events, making it a popular entertainment venue for nearby residents.","Longhope railway station served as a transportation hub for the local community, providing easy access to neighboring towns and cities.",E
What notable legislation did Sam Watford support and vote for in 2015?,"The Affordable Care Act, expanding access to healthcare.","The Education Reform Act, improving educational standards.","The Clean Water Act, promoting environmental conservation.",The HB 465 - Amending Regulations Regarding Abortion.,"The Marriage Equality Act, advocating for LGBTQ+ rights.",B
What is the purpose of a tap and die tool set?,"Taps and dies are primarily used for creating screw threads, with taps for forming the female portion and dies for forming the male portion of the mating pair.",The main function of a tap and die tool set is to cut or form threads in order to create a smooth surface finish on metal surfaces.,Taps and dies are forming tools that are specifically designed for cutting or forming threads in plastic materials.,Taps and dies are tools primarily employed for cutting or forming threads in woodworking projects.,Taps and dies are exclusively used as cutting tools for forming threads in metal materials.,C
What is one of the initiatives that Ilana Sod has collaborated on according to the excerpt?,Anti-drug campaigns,Environmental conservation projects,None of the above,Humanitarian aid missions,Educational programs for underprivileged children,D
What is the role of T.J. Rooney in Pennsylvania politics?,T.J. Rooney is the current chairman of the Pennsylvania Democratic Party and a former member of the Pennsylvania House of Representatives.,T.J. Rooney has served as a political consultant for various Democratic candidates in Pennsylvania.,T.J. Rooney has been instrumental in establishing bipartisan initiatives to address economic development in Pennsylvania.,"T.J. Rooney has been a prominent figure in Pennsylvania politics, frequently providing political commentary on local news channels.",T.J. Rooney has actively advocated for campaign finance reform in Pennsylvania through grassroots movements.,C
"What is the significance of the Branting Monument in Stockholm, Sweden?",The Branting Monument commemorates the signing of a peace treaty between Sweden and a neighboring country.,The Branting Monument represents the victory of the Swedish Social Democratic party in a national election.,The Branting Monument is a memorial dedicated to those who lost their lives in a natural disaster.,The Branting Monument is an architectural landmark known for its unique design and materials.,The Branting Monument is a tribute to the Swedish Social Democratic leader Hjalmar Branting's contribution to the arts.,B
How many NCAA Final Four appearances have the Arkansas Razorbacks men's basketball team made?,Eight,Four,One,Six,Three,B
What new features does Bejeweled 2 introduce compared to its predecessor?,Bejeweled 2 introduces a storyline and narrative elements to enhance the gameplay experience.,Bejeweled 2 introduces a comprehensive tutorial system to guide new players through the gameplay mechanics.,"Bejeweled 2 introduces new multiplayer modes and leaderboards, allowing players to compete with others.","Bejeweled 2 introduces a completely new set of tile-matching mechanics, making it a unique puzzle game.",Bejeweled 2 introduces new power-ups and abilities for the player to utilize during gameplay.,A
What award did the film Blood Punch win at the Austin Film Festival?,The Dark Matters Audience Award,The Best Horror Film Award,The Audience Choice Award,The Best Director Award,The Jury Prize for Best Film,C
Which industry is PTT Public Company Limited involved in?,Agriculture,Oil and gas,Telecommunications,Retail clothing,Automotive manufacturing,E
What was the highest position reached by the Coffy soundtrack on the jazz albums chart?,The Coffy soundtrack did not chart on the jazz albums chart.,The Coffy soundtrack reached number 10 on the jazz albums chart.,The Coffy soundtrack reached number 56 on the jazz albums chart.,The Coffy soundtrack reached number 31 on the jazz albums chart.,The Coffy soundtrack reached number 42 on the jazz albums chart.,B
What was Anthony Hsieh's role in the acquisition of LinkExchange by Microsoft?,Anthony Hsieh played a key role in negotiating the acquisition deal between LinkExchange and Microsoft.,Anthony Hsieh had no involvement in the acquisition deal between LinkExchange and Microsoft.,Anthony Hsieh founded LinkExchange after it was acquired by Microsoft.,Anthony Hsieh joined Microsoft after selling LinkExchange to the company.,Anthony Hsieh sold LinkExchange to Microsoft for $265 million.,C
"What was the ownership status of KNBU, a radio station based in Baldwin City, Kansas?","KNBU was a for-profit radio station licensed to Baldwin City, Kansas, United States.","KNBU was owned and operated by a public university in Baldwin City, Kansas, United States.","KNBU was a community-owned radio station licensed to Baldwin City, Kansas, United States.","KNBU was a non-profit radio station licensed to Baldwin City, Kansas, United States.","KNBU was owned and operated by a commercial entity in Baldwin City, Kansas, United States.",B
What is the historical variation in the naming of the Peninsula Point Light lighthouse site?,The site has always been consistently referred to as Peninsula Point.,The site has always been consistently referred to as Point Peninsula.,The historical naming variation of the site is unknown.,"The site has had different names over the years, including both Peninsula Point and Point Peninsula.",The site has historically been unnamed and referred to by a different designation.,B
In which province of Georgia does the Chanistsqali River flow through?,Mengrelia,Imereti,Samtskhe-Javakheti,Kartli,Kakheti,C
"What is the fourth-highest civilian honour awarded by the Government of India, which Jaya Bachchan has received?",Bengali cinema,Padma Shri,Rajya Sabha,Filmfare Awards,Samajwadi Party,E
"What was the previous function of the Chien-Cheng Circle or Taipei Circle in Datong District, Taipei, Taiwan?","It used to be a traffic circle, allowing smooth traffic flow in the district.","It used to be a public plaza, hosting a bustling night market in the area.","It used to be a skate park, providing a recreational area for residents and visitors.","It used to be a library, providing a quiet space for reading and studying.","It used to be a concert venue, hosting various musical performances.",C
Which regions does Arnica lanceolata have a disjunct distribution in?,Western North America and northeastern North America,Western North America and southwestern North America,Central North America and western North America,Northeastern North America and southeastern North America,Southern North America and southeastern North America,C
"What was the award-winning category of the Barrington Atlas of the Greek and Roman World, published by Princeton University Press in 2000?",Best Fiction Novel of the Year.,Best Scientific Breakthrough of the Year.,Best Memoir of the Year.,Best Professional/Scholarly Multivolume Reference Work in the Humanities.,Best Art Book of the Year.,B
What can be inferred about the reception of The Singing Forest based on available information?,The Singing Forest is a film that received negative reviews from both audiences and critics.,The Singing Forest is a polarizing film that received mixed reviews from audiences and critics.,The Singing Forest is a film that received positive reviews from audiences but negative reviews from critics.,The Singing Forest is a film that received positive reviews from critics but negative reviews from audiences.,The Singing Forest is a critically acclaimed film that received positive reviews from both audiences and critics.,C
"How does ""Snakedrill"" by Wire foreshadow their use of electronic instrumentation on following albums?","""Snakedrill"" incorporates traditional instruments, such as guitars and drums, with minimal electronic elements.","""Snakedrill"" showcases Wire's return to a solely acoustic sound with no electronic instrumentation.","""Snakedrill"" features extensive use of electronic instrumentation, such as synthesizers and keyboards.","""Snakedrill"" relies heavily on vocal harmonies and does not include any electronic instrumentation.","""Snakedrill"" experiments with a variety of genres, including reggae and funk, but does not utilize electronic instrumentation.",D
What is the population of Murillo municipality in Colombia according to the 2005 census?,"The population of the municipality was 4,953 as of the 2005 census, all of whom lived in rural areas of the municipality, excluding the town of Murillo.","The population of the municipality was 4,953 as of the 2005 census, 1,569 who lived within the town of Murillo, the remainder in rural areas of the municipality.","The population of the municipality was 4,953 as of the 2005 census, all of whom lived within the town of Murillo.","The population of the municipality was 1,569 as of the 2005 census, all of whom lived within the town of Murillo.","The population of the municipality was 1,569 as of the 2005 census, all of whom lived in rural areas of the municipality, excluding the town of Murillo.",E
"What role did Jaime ""Gomez"" Arellano play in the band Septic Tank?","Jaime ""Gomez"" Arellano did not have any involvement with the band Septic Tank.","Jaime ""Gomez"" Arellano was the lead vocalist and guitarist of the band Septic Tank.","Jaime ""Gomez"" Arellano was the drummer of the band Septic Tank, replacing Barry Stern after his death in 2005.","Jaime ""Gomez"" Arellano was the producer of the band Septic Tank's EP and album.","Jaime ""Gomez"" Arellano was one of the founding members of the band Septic Tank.",B
Why was the impact crater on Mars named Karratha?,"The impact crater on Mars was named Karratha because of its unique geological features, resembling the landscape near the town of Karratha, Western Australia. ","The impact crater on Mars was named Karratha after the town of Karratha, Western Australia, as a way to honor the local community.","The impact crater on Mars was named Karratha because it is located in the Memnonia quadrangle, which is designated for naming purposes. ","The impact crater on Mars was named Karratha because it was discovered by a group of scientists from the town of Karratha, Western Australia. ",The impact crater on Mars was named Karratha because it is the largest impact crater ever found in the Memnonia quadrangle. ,E
"How can Barranquenho, a linguistic variety spoken in the Portuguese town of Barrancos, be classified?","It is a mixture of Portuguese and Spanish languages, with equal influence from both.",It is a variety of Spanish influenced by Portuguese dialects.,It is a variety of Portuguese influenced by Spanish dialects.,It is a dialect with no influence from neighboring Portuguese and Spanish areas.,It is a language entirely independent from Portuguese and Spanish languages.,D
"What is the meaning of the term ""fossae"" in relation to troughs on Mars?","""Fossae"" is a term used to describe mountains or hills on Mars.","""Fossae"" is a term used to describe canyons or valleys on Mars.","""Fossae"" is a term used to describe craters on Mars.","""Fossae"" is a term used to describe large bodies of water on Mars.","""Fossae"" is a term used to describe sand dunes on Mars.",E
What are lockrods used for in trailers and semi-trucks?,Lockrods are mechanical devices used to secure roll-up doors on the back end of trailers and semi-trucks.,Lockrods are mechanical devices used to secure swing doors on the side of trailers and semi-trucks.,Lockrods are mechanical devices used to secure swing doors on the front end of trailers and semi-trucks.,Lockrods are mechanical devices used to secure swing doors on the roofs of trailers and semi-trucks.,Lockrods are mechanical devices used to secure swing doors on the back end of trailers and semi-trucks.,A
What is the role of a porch in relation to a building's entrance?,"A porch is an enclosed space located inside a building's entrance, providing a transitional area before entering the main building.","A porch is a detached structure near a building's entrance, serving as a sheltered waiting area.","A porch is a room or gallery located in front of an entrance of a building, commanding the facade and forming a low front.","A porch is an elevated platform at the entrance of a building, providing a visual distinction from the surrounding area.","A porch is an architectural feature located at the back of a building, serving as an extension of the interior living space.",D
