id,prompt,A,B,C,D,E,answer
516,What is the main purpose of ocean fertilization?,To reduce surface ocean acidity,To increase marine food production,To remove pollutants from the atmosphere,To decrease ocean mixing times,To increase deep ocean acidity,B
517,Which nutrient is commonly used in ocean fertilization experiments?,Iron,Phosphorus,Nitrogen,Calcium,Potassium,A
518,How much can iron fertilization increase photosynthesis in phytoplankton?,2 times,10 times,30 times,50 times,100 times,C
519,What is one of the risks associated with nutrient fertilization?,Decreased deep ocean acidity,Increased nutrient availability downstream,Enhanced primary productivity,Reduced carbon sequestration,Lower marine food production,B
520,What is civil engineering?,A profession that deals with the construction of buildings,A profession that deals with the design of physical and naturally built environment,A profession that deals with the maintenance of public works,A profession that deals with the design and construction of military infrastructure,A profession that deals with the design and construction of computer software,B
521,What is the second-oldest engineering discipline?,Mechanical engineering,Electrical engineering,Civil engineering,Chemical engineering,Biomedical engineering,C
522,Where can civil engineering take place?,Only in the public sector,Only in the private sector,Both in the public and private sector,Only in the federal government agencies,Only in global Fortune 500 companies,C
523,What fields is civil engineering linked to?,Physics and mathematics,Chemistry and biology,Geography and geology,Computer science and programming,Psychology and sociology,A
524,When did engineering begin?,In the 21st century,In the 19th century,In the 17th century,Since the beginning of human existence,In the 20th century,D
525,What is the definition of runway incursion?,"Any occurrence at an aerodrome involving the incorrect presence of an aircraft, vehicle or person on the protected area of a surface designated for the landing and take off of aircraft.","An incident involving only a single aircraft, where it makes an inappropriate exit from the runway.","The most frequent type of landing accident, slightly ahead of runway incursion.",A type of excursion where the aircraft is unable to stop before the end of the runway.,A runway's current status due to meteorological conditions and air safety.,A
526,What is the definition of runway excursion?,"Any occurrence at an aerodrome involving the incorrect presence of an aircraft, vehicle or person on the protected area of a surface designated for the landing and take off of aircraft.","An incident involving only a single aircraft, where it makes an inappropriate exit from the runway.","The most frequent type of landing accident, slightly ahead of runway incursion.",A type of excursion where the aircraft is unable to stop before the end of the runway.,A runway's current status due to meteorological conditions and air safety.,B
527,What is a runway overrun?,"Any occurrence at an aerodrome involving the incorrect presence of an aircraft, vehicle or person on the protected area of a surface designated for the landing and take off of aircraft.","An incident involving only a single aircraft, where it makes an inappropriate exit from the runway.","The most frequent type of landing accident, slightly ahead of runway incursion.",A type of excursion where the aircraft is unable to stop before the end of the runway.,A runway's current status due to meteorological conditions and air safety.,D
528,What is the most frequent type of landing accident?,"Any occurrence at an aerodrome involving the incorrect presence of an aircraft, vehicle or person on the protected area of a surface designated for the landing and take off of aircraft.","An incident involving only a single aircraft, where it makes an inappropriate exit from the runway.","The most frequent type of landing accident, slightly ahead of runway incursion.",A type of excursion where the aircraft is unable to stop before the end of the runway.,A runway's current status due to meteorological conditions and air safety.,C
529,What does runway condition refer to?,"Any occurrence at an aerodrome involving the incorrect presence of an aircraft, vehicle or person on the protected area of a surface designated for the landing and take off of aircraft.","An incident involving only a single aircraft, where it makes an inappropriate exit from the runway.","The most frequent type of landing accident, slightly ahead of runway incursion.",A type of excursion where the aircraft is unable to stop before the end of the runway.,A runway's current status due to meteorological conditions and air safety.,E
530,What is an electric machine?,A device that converts mechanical energy to electrical energy,A device that converts electrical energy to mechanical power,A device that produces electric power on Earth,A device that changes the voltage level of an alternating current,A device that consumes approximately 60% of all electric power produced,A
531,What are the two main types of electric machines based on the movement of their parts?,Rotating machines and linear machines,Mechanical machines and electrical machines,Transformer machines and generator machines,Motor machines and converter machines,Electric machines and mechanical machines,A
532,What is the role of transformers in the category of electric machines?,They convert mechanical power to electricity,They convert electricity to mechanical power,They convert the voltage level of an alternating current,They produce electric power on Earth,They consume approximately 60% of all electric power produced,C
533,What is the importance of efficient electric machine technology?,It helps in global conservation efforts,It promotes green energy strategies,It supports alternative energy strategies,All of the above,None of the above,D
534,When were electric machines developed?,In the mid 19th century,In the late 19th century,In the early 20th century,In the late 20th century,In the 21st century,A
535,What is specific impulse?,A measure of how efficiently a reaction mass engine creates thrust,A measurement of the amount of propellant needed for a given delta-v,A measure of the actual exhaust velocity of a rocket engine,A measurement of the mass of external air accelerated by a jet engine,A measurement of the specific fuel consumption of a propulsion system,A
536,How does a propulsion system with a higher specific impulse use propellant more efficiently?,By requiring less propellant for a given delta-v,By increasing the actual exhaust velocity of the engine,By decreasing the specific fuel consumption of the system,By accelerating external air in addition to the reaction mass,By using a combination of rocket and jet engines,A
537,"In an atmospheric context, what can be included in the specific impulse?",The contribution of combustion air from a turbofan engine,The thrust expansion of a rocket engine,The mass of external air accelerated by a jet engine,The heating of external air by fuel combustion,The bypass of external air in a jet engine,C
538,How does specific impulse relate to specific fuel consumption?,Specific impulse is inversely proportional to specific fuel consumption,Specific impulse is directly proportional to specific fuel consumption,Specific impulse has no relation to specific fuel consumption,Specific impulse is equal to specific fuel consumption,Specific impulse is the square root of specific fuel consumption,A
539,How can the amount of propellant be measured?,In units of mass,In units of weight,Both in units of mass and weight,By calculating the specific fuel consumption,By measuring the effective exhaust velocity,C
540,What is forensic colorimetry?,The examination of specimen color for purposes of forensic investigation,The examination of specimen texture for purposes of forensic investigation,The examination of specimen shape for purposes of forensic investigation,The examination of specimen size for purposes of forensic investigation,The examination of specimen smell for purposes of forensic investigation,A
541,Which method of color analysis relies on the ability of the naked eye to match colors?,Visual analysis,Spectrophotometry,Digital photography with post-processing,By computational methods,Qualitative methods,A
542,What is the purpose of using spectrophotometers in color analysis?,To measure the light absorbed or transmitted by colored objects,To match specimen colors to a standardized chart or database,To conduct visual analysis,"To analyze colors on a flat, homogeneous solid surface",To conduct quantitative analysis of heterogeneous specimens,A
543,What is the advantage of using handheld spectrophotometers?,They allow comparisons between sample color and database colors without the need for multiple pieces of equipment,They provide more accurate results than visual analysis,They are suitable for analyzing colors on irregular surfaces,They can measure the smell of a specimen,They can conduct qualitative analysis,A
544,When is digital photography with post-processing used in color analysis?,When conducting visual analysis of soil or powder specimens,When comparing sample color to database colors,"When analyzing colors on a flat, homogeneous solid surface",When conducting quantitative analysis of heterogeneous specimens,When measuring the light absorbed or transmitted by colored objects,D
545,What is tablescaping?,An activity involving the setting of dining tables for social events,A form of art that involves decorating flat surfaces in a room,A type of competition that dates back to the 1930s and 1940s,A permanent installation that changes with the seasons,A decorative treatment for any flat surface in any room,A
546,"What was the origin of the term ""setting the table""?",It originated in the middle ages to describe setting a board on two trestles,It originated in the 1930s and 1940s as part of tablesetting competitions,It originated in the United States and Australia as a form of art,It originated in wealthy households as a way to display decorative napkins,It originated in the late 1600s with the introduction of forks,A
547,What were early dining tables primarily used for?,To display decorative napkins,To provide a temporary surface for setting food,To showcase elaborate table settings,To hold cutlery and utensils,To serve as a centerpiece for social events,B
548,What utensil was introduced in the late 1600s?,Spoons,Knives,Forks,Cups,Salt cellars,C
549,What made the use of decorative tablecloths and napkins more practical?,The introduction of forks,The use of fewer drips and greasy fingers to wipe,The availability of decorative tableware,The increase in wealthy households,The popularity of tablesetting competitions,B
550,Who invented conjugate coding?,Stephen Wiesner,James Park,Alexander Holevo,Charles H. Bennett,R. P. Poplavskii,A
551,Who articulated the no-cloning theorem?,Stephen Wiesner,James Park,Alexander Holevo,Charles H. Bennett,R. P. Poplavskii,B
552,Who showed that n qubits can carry more than n classical bits of information?,Stephen Wiesner,James Park,Alexander Holevo,Charles H. Bennett,R. P. Poplavskii,C
553,Who showed that computation can be done reversibly?,Stephen Wiesner,James Park,Alexander Holevo,Charles H. Bennett,R. P. Poplavskii,D
554,Who described the first quantum mechanical model of a computer?,Stephen Wiesner,James Park,Alexander Holevo,Charles H. Bennett,R. P. Poplavskii,E
555,What is the purpose of a shallow foundation?,To transfer structural load to a subsurface layer,To distribute the pressure to the soil,To support light structures only,To reduce the width of the entire foundation,To make the foundation more technical,B
556,Why are shallow foundations more economical?,Because they are deeper than deep foundations,Because they have a larger bearing area,Because they can support heavier loads,Because they are less technical,Because they are more widely used,D
557,What is the difference between shallow and deep foundations?,Shallow foundations have a smaller bearing area,Deep foundations are less economical,Shallow foundations are more technical,Deep foundations are used for light structures only,Shallow foundations transfer load near the surface,E
558,What is the purpose of a wall footing?,To support non-structural load bearing walls,To reduce the width of the entire foundation,To transfer structural load to a subsurface layer,To distribute the pressure to the soil,To make the foundation more technical,A
559,What is another name for a wall footing?,Strip footing,Deep foundation,Shallow foundation,Structural footing,Non-structural footing,A
560,What is a shellworld?,A planet or planetoid turned into concentric matryoshka doll-like layers,A megastructure consisting of multiple layers of shells suspended above each other by orbital rings,An inflated canopy holding high pressure air around an otherwise airless world,Completely hollow shell worlds created by contained gas alone,None of the above,A
561,Who wrote the novel Matter?,Iain M. Banks,J.K. Rowling,Stephen King,George R.R. Martin,None of the above,A
562,Which type of shellworld can be suspended above any type of stellar body?,A planet or planetoid turned into concentric matryoshka doll-like layers,A megastructure consisting of multiple layers of shells suspended above each other by orbital rings,An inflated canopy holding high pressure air around an otherwise airless world,Completely hollow shell worlds created by contained gas alone,None of the above,B
563,How is an inflated canopy shellworld created?,By turning a planet or planetoid into concentric matryoshka doll-like layers,By using orbital rings supported by hypothetical mass stream technology,By containing high pressure air around an airless world,By creating a completely hollow shell world using contained gas,None of the above,C
564,What is the condition for a completely hollow shellworld?,The mass of the enclosed gas must balance the gravitational contraction of the entire structure,The shell must be made of any mundane material,The shell can be made on a planetary or larger scale,The scale is limited only by the mass of gas enclosed,None of the above,A
565,What is the main headquarters location of Pennant International Group Plc?,"Birmingham, UK","Cheltenham, UK","London, UK","Manchester, UK","Glasgow, UK",B
566,In which sectors does Pennant International Group Plc provide its engineering products and services?,Pharmaceutical and healthcare,Automotive and manufacturing,"Defence, rail, power, and government",Technology and telecommunications,Financial and banking,C
567,What is the purpose of the GenFly Generic Flying Controls Trainer?,To train pilots in flying controls and aircraft hydraulics,To provide maintenance training for airframe mechanics and technicians,To simulate aircraft documentation for the Royal Air Force,To develop software for the defence sectors in Canada and Australia,To provide data services to the government sector,B
568,When did the GenFly device enter service?,1990,2001,2010,2015,2020,B
569,How many GenFly units did the RAF take delivery of?,Two,Three,Four,Five,Six,C
570,What is an endless runway?,An aircraft runway that loops around to form a circle,An aircraft runway that is extremely long,An aircraft runway that can never be used for take-offs and landings,An aircraft runway that is made entirely of circular tracks,An aircraft runway that is designed for testing cars,A
571,When did experiments with the concept of an endless runway take place?,In the 1910s,In the 1960s,In the 2010s,In the 1980s,In the 2000s,B
572,What was the purpose of the circular runway designed on top of skyscrapers in New York?,To provide parking space for airplanes,To provide a landing area for helicopters,To allow airplanes to take off and land directly on the roofs of buildings,To serve as a recreational area for pilots,To test the feasibility of circular runways,C
573,Who led the European consortium that studied the idea of an endless runway?,An engineer at the Royal Netherlands Aerospace Centre,An engineer at the Nederlands Lucht- en Ruimtevaartcentrum,A marine officer,An engineer at the Kings Cross railway station,A delivery drone pilot,A
574,What modification or new system would be required for the Instrument Landing System to work with a curving runway?,No modification or new system is required,A modification or new system is not possible,A new system needs to be developed,The curving runway cannot be used with the Instrument Landing System,The curving runway requires a modified version of the Instrument Landing System,C
575,What is the purpose of error analysis for the Global Positioning System (GPS)?,To determine the distance between GPS satellites and the receiver,To understand how GPS works and the magnitude of expected errors,To correct for residual errors in the GPS system,To compute the GPS receiver position based on satellite data,To estimate the numerical error in GPS measurements,B
576,What are user equivalent range errors (UERE) in GPS?,Errors caused by clock errors in the GPS receiver,Errors that are corrected by the GPS system,Errors in the GPS receiver position computation,Errors in the range measurement between GPS satellites and the receiver,Errors in the numerical estimation of GPS measurements,D
577,What is the estimated numerical error in GPS measurements?,1 meter (3 ft 3 in),3 meters (9 ft 10 in),10 meters (32 ft 10 in),100 meters (328 ft),No numerical error is present in GPS measurements,A
578,How are the standard deviations (σR) for the coarse/acquisition (C/A) and precise codes computed?,By summing the individual components of the GPS system,By taking the square root of the sum of the squares of the individual components,By dividing the sum of the individual components by the number of components,By multiplying the individual components of the GPS system,By subtracting the individual components of the GPS system from each other,B
579,What factors contribute to the residual errors in GPS measurements?,Geometric dilution of precision,Receiver clock errors,Other effects not corrected by the GPS system,Numerical errors in GPS measurements,All of the above,E
580,What is the definition of ecological engineering according to Mitsch and Jorgensen?,Utilizing ecological science and theory,Applying engineering design methods,Designing societal services that benefit society and nature,Using natural energy sources to manipulate environmental systems,Conserving non-renewable energy sources,C
581,Who introduced the concept of ecological engineering?,Howard Odum,Mitsch and Jorgensen,Barrett,Bergen et al.,"No one, it emerged naturally",A
582,What are the three spatial scales of applications in ecological engineering?,"Microcosms, ecosystems, and global systems","Mesocosms, ecosystems, and regional systems","Local systems, national systems, and global systems","Mesocosms, ecosystems, and global systems","Microcosms, local systems, and regional systems",B
583,What are the key concepts that differentiate ecological engineering?,Self-designing capacity of ecosystems,System approaches,Conserving non-renewable energy sources,Supporting ecosystem and biological conservation,All of the above,E
584,What does ecological engineering aim to integrate?,Human society with its natural environment,Ecological science with engineering principles,Biology with technology,Ecosystems with renewable energy sources,All of the above,A
585,What does the National Electrical Manufacturers Association (NEMA) define standards for?,Electrical equipment in hazardous areas,Electrical enclosures used in industrial applications,NEMA connectors for electrical equipment,NEMA 250- Enclosures for Electrical Equipment,UL enclosure ratings,B
586,What are some environmental hazards that a NEMA enclosure might protect against?,Water and dust only,Oil and coolant only,Atmospheres containing corrosive agents only,"Water, dust, oil or coolant, and atmospheres containing corrosive agents",None of the above,D
587,Are higher NEMA enclosure types inclusive of lower-numbered tests?,"Yes, they include all lower-numbered tests","No, they do not include all lower-numbered tests",It depends on the specific enclosure size,Higher NEMA enclosure types are intended for outdoor use,None of the above,B
588,What does a NEMA enclosure rating not necessarily indicate?,It does not indicate protection against personal access to hazardous parts,It does not indicate additional type-dependent designated environmental conditions,It does not indicate compliance with UL enclosure ratings,It does not indicate compliance with NFPA and NEC standards,None of the above,C
589,Which organization is responsible for the NEMA standards?,UL (Underwriters Laboratories),NFPA (National Fire Protection Association),NEC (National Electrical Code),NEMA (National Electrical Manufacturers Association),None of the above,D
590,What is the main objective of cost engineering?,To manage project cost,To estimate project cost,To control project cost,To forecast project cost,To appraise project cost,A
591,What are the activities involved in cost engineering?,Estimating and cost control,Cost forecasting and risk analysis,Investment appraisal and quantity surveying,Project controls and risk analysis,Project controls and quantity surveying,B
592,What skills and knowledge do cost engineers possess?,Similar to quantity surveyors,Similar to project managers,Similar to investment analysts,Similar to risk analysts,Similar to business planners,A
593,What is another term used interchangeably with cost engineering in many industries?,Project appraisal,Project estimation,Project management,Project controls,Project scheduling,D
594,What is the role of a cost engineer?,To prepare cost estimates and schedules,To manage resources and support decision-making,To analyze profitability and manage projects,To plan and schedule projects,To control cost overruns and schedule slips,B
595,What is the dimension of the space of dual quaternions?,4,6,8,10,12,C
596,Which algebra are the dual quaternions isomorphic to?,Quaternion algebra,Complex numbers,Real numbers,Dual numbers,Tensor product,E
597,What is the form of a dual quaternion?,A + εB,A - εB,A + B,A - B,A * B,A
598,What is the dual unit in the dual quaternion algebra?,ε,i,j,k,1,A
599,Do dual quaternions form a division algebra?,Yes,No,Sometimes,Not sure,Maybe,B
600,What is the role of a modern watchmaker?,Creating customized watches from scratch,Repairing watches using factory-made spare parts,Designing and manufacturing all the parts of a watch by hand,Specializing in making and repairing clocks,Crafting replacement parts for older watches,B
601,What skills are required for a watchmaker to repair older watches?,Knowledge of different watch brands,Ability to fabricate replacement parts,Expertise in manufacturing all parts of a watch by hand,Experience in designing customized watches,Specialization in clock repair,B
602,What is the main difference between a watchmaker and a clockmaker?,"Watchmakers specialize in repairing watches, while clockmakers specialize in repairing clocks","Watchmakers create customized watches, while clockmakers create customized clocks","Watchmakers fabricate replacement parts, while clockmakers do not","Watchmakers use factory-made spare parts, while clockmakers manufacture all the parts by hand","Watchmakers service current watches, while clockmakers service older watches",A
603,What do most practising professional watchmakers do?,Manufacture replacement parts for current watches,Repair watches using factory-made spare parts,Design and build customized watches,Specialize in clock repair,Create handmade watches from scratch,B
604,What types of watches do modern watchmakers mainly service?,Customized watches built from scratch,Watches with rare and expensive parts,Older watches for which replacement parts are not available,Watches of a specific brand,Clocks that require expert repair,D
605,What is the mainstream wiring system in Hong Kong?,BS 1365,BS 546,BS 3676,BS 1363,BS 5321,D
606,Which wiring system is common in old buildings in Hong Kong?,BS 1365,BS 546,BS 3676,BS 1363,BS 5321,B
607,What are the plug and socket compatibility issues in Hong Kong?,Issues with mainland Chinese products,Issues with British products,Issues with overseas products,Issues with old equipment,Issues with new equipment,D
608,Which plugs are compatible with the British converter plugs sold in Hong Kong?,Mainland China two-pin plugs,Mainland China three-pin plugs,British shaver adaptors,British standard adaptors,British converter plugs,A
609,Which group of citizens normally do not encounter plug-and-socket issues in Hong Kong?,Citizens from the United Kingdom,Citizens from countries with British wiring systems,Citizens from mainland China,Citizens from overseas countries,Citizens from Hong Kong,B
610,What is Infrastructure as code (IaC)?,The process of managing and provisioning computer data centers through physical hardware configuration,The process of managing and provisioning computer data centers through machine-readable definition files,The process of managing and provisioning computer data centers through interactive configuration tools,The process of managing and provisioning computer data centers through version control system,The process of managing and provisioning computer data centers through declarative definitions,B
611,What does IaC manage?,"Only physical equipment, such as bare-metal servers",Only virtual machines,Both physical and virtual infrastructure,Only configuration resources,Only version control system,C
612,Which approach does IaC more often employ?,Scripts,Declarative definitions,Physical hardware configuration,Interactive configuration tools,Version control system,B
613,What are the advantages of IaC?,Cost reduction only,Speed improvement only,Risk reduction only,Cost reduction and speed improvement,Cost reduction and risk reduction,D
614,Why was IaC born?,To handle the difficulty posed by utility computing and second-generation web frameworks,To manage large multi-national companies,To automate infrastructure configuration,To provide visibility to other teams across the enterprise,To rapidly deploy applications,A
615,What is the purpose of braking action reports in aviation?,To assess the quality of the runway surface,To determine the crosswind limits for an aircraft,To measure the stopping distances on a runway,To report the level of friction on a runway,To evaluate the performance of the aircraft during landing,D
616,Which organization is responsible for reporting braking action in the United States?,Air Traffic Control,Federal Aviation Administration,Pilots,Airport Management,Automatic Terminal Information Service,B
617,What are the possible terms used to report braking action according to the U.S. Federal Aviation Administration?,Excellent; High; Low; None,Good; Medium; Poor; Nil,Safe; Risky; Unsafe; None,Strong; Moderate; Weak; None,Effective; Average; Ineffective; None,B
618,"What action must be taken by an air traffic controller if they receive a braking action report worse than ""Good""?",They must complete a Pilot Report (PIREP),They must update the Automatic Terminal Information Service,They must notify the airport management,They must suspend all aircraft operations,They must request a runway inspection,A
619,"In Europe, what do braking action reports indicate?",The stopping distances on a runway,The quality of the runway surface,The crosswind limits for an aircraft,The performance of the aircraft during landing,The reduced friction on a runway due to contamination,E
620,What is grammar systems theory?,The study of formal languages in computer science.,The study of systems of finite collections of formal grammars generating a formal language.,The study of artificial intelligence agents.,The study of decentralized systems.,The study of distributed systems.,B
621,What is the set of possible behaviors of agent A?,A formal language.,A formal grammar.,A reactive agent.,A decentralized system.,A distributed system.,A
622,What does ƒ and t represent in the behavior of agent A?,"Turning and moving forward, respectively.","Moving forward and turning, respectively.","Turning and moving backward, respectively.","Moving backward and turning, respectively.","Moving forward and turning twice, respectively.",A
623,What is the purpose of the grammar system in the description of the behavior of agent A?,To generate a formal language.,To represent a subsumption architecture.,To communicate and cooperate with other grammars.,To describe the final behavior of the agent.,To rewrite the shared sequential form.,D
624,What is a Cooperating Distributed (DC) grammar system?,A system of formal grammars working on a shared sequential form.,A system of formal grammars that do not communicate with each other.,A system of formal grammars that work independently.,A system of formal grammars that generate a formal language.,A system of formal grammars that represent an environment.,A
625,What is the time value of money?,It is the concept that money has greater value when received now rather than later,It is the concept that money has greater value when received later rather than now,It is the concept that money has the same value regardless of when it is received,It is the concept that money has no value,It is the concept that money has different values depending on the circumstances,A
626,Why is the time value of money considered when weighing spending and saving?,To determine the opportunity costs of spending money,To determine the opportunity costs of saving money,To determine the opportunity costs of investing money,To determine the opportunity costs of not spending money,To determine the opportunity costs of not saving money,A
627,What is one of the reasons interest is paid or earned?,To compensate for the loss of use of money,To encourage people to spend money,To discourage people from saving money,To stabilize the economy,To increase the value of money,A
628,Who recognized the time value of money in the Talmud?,Martín de Azpilcueta,The School of Salamanca,Tractate Makkos,The false witnesses,The borrowers,C
629,What variables are involved in time value of money problems?,"Balance, periodic rate of interest, number of periods, series of cash flows","Balance, periodic rate of interest, number of periods, individual cash flows","Balance, interest rate, time period, net cash flows","Debt, financial asset, cash flows, interest rate","Debt, financial asset, cash flows, time period",B
630,What is the phenomenon behind the theory of Brownian motors?,Diffusion of particles in a fluid,Electromagnetic forces,Gravity,Nuclear reactions,Friction between solid surfaces,A
631,Why is directed motion difficult to achieve on the nanoscale?,The forces impelling the motors are too strong,The motors are too large,The motors are affected by electromagnetic fields,Viscosity dominates inertia,The random forces are too weak,D
632,"When was the term ""Brownian motor"" coined?",1827,1905,1926,1995,2008,D
633,Who described the random motion of pollen particles in water?,Peter Hänggi,Robert Brown,Albert Einstein,Jean Perrin,Swiss theoretical physicist,B
634,What are the implications of Brownian motors?,They can explain protein synthesis and muscular contraction,They can generate electricity,They can be used in space exploration,They can control weather patterns,They can cure diseases,A
635,What is the Coulomb barrier?,A barrier that prevents two nuclei from getting close enough to undergo a nuclear reaction,The energy barrier due to electrostatic interaction that two nuclei need to overcome to bind together,The energy barrier due to electrostatic interaction that prevents two nuclei from colliding,A barrier that prevents the fusion of two nuclei,The energy barrier due to quantum mechanical tunnelling,A
636,What is the formula for the Coulomb barrier?,Ucoul = (q1 * q2) / (4 * pi * epsilon0 * r),Ucoul = (Z1 * Z2 * e^2) / (4 * pi * epsilon0 * r),Ucoul = (q1 * q2) / (4 * pi * epsilon0 * r^2),Ucoul = (Z1 * Z2 * e^2) / (4 * pi * epsilon0 * r^2),Ucoul = (q1 * q2 * e^2) / (4 * pi * epsilon0 * r),B
637,What causes the Coulomb barrier to increase?,An increase in the atomic numbers of the colliding nuclei,An increase in the interaction radius,An increase in the kinetic energy of the colliding nuclei,An increase in the electric potential energy,An increase in the permittivity of free space,A
638,How do nuclei overcome the Coulomb barrier?,By undergoing a nuclear reaction,By colliding at low velocities,By colliding at high velocities,By increasing their atomic numbers,By increasing their interaction radius,C
639,What is the Gamow window?,The limited range of conditions where fusion can take place,The temperature needed to overcome the Coulomb barrier,The fraction of particles with a velocity high enough to overcome the Coulomb barrier,The absence of the Coulomb barrier,The discovery of the neutron by James Chadwick,A
640,What is GMSL?,A video distribution technology used in cars,A wireless communication technology,A data storage technology,A satellite navigation technology,A virtual reality technology,A
641,Who developed GMSL?,Analog Devices,Maxim Integrated,HDMI,DisplayPort,Camera Serial Interface (CSI-2),B
642,What does GMSL transport?,Power and control data only,Video and audio only,Ethernet and audio only,"Data, audio, video, power, and control data",Video and power only,D
643,Which digital video interfaces can be used with GMSL?,USB and Thunderbolt,Bluetooth and Wi-Fi,HDMI and DisplayPort,VGA and DVI,Ethernet and USB,C
644,What is the maximum cable length for GMSL?,5 meters,10 meters,15 meters,20 meters,25 meters,C
645,What is a morphic word?,An infinite sequence of symbols constructed from a particular class of endomorphism of a free monoid.,A sequence of letters that is generated by a fixed point of a prolongable k-uniform morphism.,A word that is the limit of a sequence of letters that begins with a specific letter and is generated by applying a specific endomorphism repeatedly.,A word that is the image of a pure morphic word under a coding.,A word that is the result of applying a deterministic context-free Lindenmayer system to a given word.,A
646,What is the property of an endomorphism that makes it prolongable at a certain letter?,The endomorphism maps the letter to itself.,The endomorphism maps the letter to a non-empty string.,The endomorphism maps the letter to a string that starts with the letter itself.,The endomorphism maps the letter to a string that ends with the letter itself.,The endomorphism maps the letter to a string that contains the letter itself.,C
647,What is the Thue-Morse sequence?,"An infinite sequence of letters generated over {0,1} by the 2-uniform endomorphism 0 → 01, 1 → 10.","An infinite sequence of letters generated over {a,b} by the endomorphism a → ab, b → a.","An infinite sequence of letters generated over {a,b,c} by the endomorphism a → ab, b → ac, c → a.","An infinite sequence of letters obtained from the fixed point of the 2-uniform morphism a → ab, b → ac, c → db, d → dc followed by a specific coding.","An infinite sequence of letters obtained from the fixed point of the 2-uniform morphism a → ab, b → cb, c → ad, d → cd followed by a specific coding.",A
648,What is the Fibonacci word?,"An infinite sequence of letters generated over {0,1} by the 2-uniform endomorphism 0 → 01, 1 → 10.","An infinite sequence of letters generated over {a,b} by the endomorphism a → ab, b → a.","An infinite sequence of letters generated over {a,b,c} by the endomorphism a → ab, b → ac, c → a.","An infinite sequence of letters obtained from the fixed point of the 2-uniform morphism a → ab, b → ac, c → db, d → dc followed by a specific coding.","An infinite sequence of letters obtained from the fixed point of the 2-uniform morphism a → ab, b → cb, c → ad, d → cd followed by a specific coding.",B
649,What is a D0L system?,A system that generates a D0L word by applying a morphism to a given word.,A system that generates a D0L word by applying a specific coding to a given word.,A system that generates a D0L word by applying a fixed point of a prolongable k-uniform morphism to a given word.,A system that generates a D0L word by applying a specific mapping to a given word.,A system that generates a D0L word by applying a finite state automaton to the digits of a number in base k.,C
650,What is the purpose of the ZetaGrid project?,To explore the non-trivial roots of the Riemann zeta function,To develop distributed computing technology,To study the stability of hosting providers,To disprove the Riemann hypothesis,To verify the Riemann hypothesis,A
651,What would be the consequence of finding a single root out of alignment?,It would prove the Riemann hypothesis,It would disprove the Riemann hypothesis,It would end the ZetaGrid project,It would lead to the development of distributed computing technology,It would have no impact on mathematics,B
652,Why did the ZetaGrid project end in 2005?,Due to the completion of checking over one billion roots,Due to instability of the hosting provider,Due to the discovery of a counterexample to the Riemann hypothesis,Due to lack of interest from mathematicians,Due to budget constraints,B
653,How many zeroes were checked in the ZetaGrid project?,More than 1010,More than 1011,More than 1012,More than 1013,More than 1014,D
654,Why were the results of the ZetaGrid project not published?,The results were lost due to a technical issue,The results were inconclusive,There was no evidence that each zero was actually computed,The project administrator decided not to publish them,The American Mathematical Society rejected the publication,C
655,What is natural science?,A systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.,The study of nature and its phenomena based on empirical evidence.,A branch of science that focuses on academic disciplines.,An overview of academic fields and professions.,The study of physical and life sciences.,A
656,What is a scientific theory?,A hypothesis that has been verified scientifically.,An explanation or prediction about nature's phenomena based on empirical evidence.,A branch of natural science that focuses on academic disciplines.,A systematic enterprise that builds and organizes knowledge.,A set of criteria and methods used for quality control in natural science.,B
657,What are the criteria and methods used for quality control in natural science?,"Validity, accuracy, and social mechanisms.",Peer review and repeatability of findings.,Empirical evidence and scientific theories.,Systematic enterprise and academic disciplines.,Research areas and scientific explanations.,B
658,How can natural science be broken down into branches?,By studying academic disciplines and professional practices.,By focusing on the study of nature and its phenomena.,By categorizing academic fields and professions.,By dividing it into life science and physical science.,By organizing knowledge and testable explanations.,D
659,What are the sub-branches of natural science?,Academic disciplines and research areas.,"Expertise, projects, and communities.",Scientific theories and empirical evidence.,Life science and physical science.,Inquiries and challenges.,D
660,What is formal linguistics?,The branch of linguistics that studies the formal aspects of natural languages,The branch of linguistics that studies the history of language,The branch of linguistics that focuses on the social aspects of language,The branch of linguistics that studies the phonetics and phonology of language,The branch of linguistics that focuses on language acquisition,A
661,Which methods are used in formal linguistics?,Statistical analysis and machine learning,Applied mathematical methods and formal grammars,Ethnographic observation and fieldwork,Psycholinguistic experiments and cognitive modeling,Historical analysis and comparative linguistics,B
662,Who proposed the use of formal grammars in linguistics?,Charles Sanders Peirce,Louis Hjelmslev,David Hilbert,Rudolf Carnap,J. R. Firth,B
663,What is the relationship between meaning and form in language according to formal linguistics?,There is no relationship between meaning and form,Meaning and form are determined by cultural context,Meaning and form are determined by individual speakers,Meaning and form are determined by a mathematical relationship,Meaning and form are determined by historical evolution,D
664,"What is the current use of the term ""formal linguistics""?",Referring to the study of language acquisition,Referring to the study of the social aspects of language,Referring to the study of the phonetics and phonology of language,Referring to Chomskyan linguistics,Referring to the historical analysis of language,D
